都道府県,2015年,2016年,2017年,2018年,2019年,2020年,
北海道,5382 ,5355 ,5325 ,5293 ,5259 ,5225 ,
青森県,1308 ,1295 ,1282 ,1268 ,1253 ,1238 ,
岩手県,1280 ,1268 ,1254 ,1240 ,1226 ,1211 ,
宮城県,2334 ,2332 ,2326 ,2320 ,2312 ,2302 ,
秋田県,1023 ,1011 ,999 ,985 ,972 ,960 ,
山形県,1124 ,1114 ,1103 ,1092 ,1080 ,1068 ,
福島県,1914 ,1903 ,1886 ,1869 ,1852 ,1833 ,
茨城県,2917 ,2910 ,2902 ,2892 ,2879 ,2867 ,
栃木県,1974 ,1969 ,1962 ,1953 ,1943 ,1933 ,
群馬県,1973 ,1969 ,1963 ,1957 ,1949 ,1939 ,
埼玉県,7267 ,7288 ,7307 ,7325 ,7342 ,7345 ,
千葉県,6223 ,6242 ,6258 ,6273 ,6283 ,6284 ,
東京都,13515 ,13646 ,13768 ,13887 ,14007 ,14048 ,
神奈川県,9126 ,9152 ,9173 ,9197 ,9224 ,9237 ,
新潟県,2304 ,2286 ,2267 ,2246 ,2224 ,2201 ,
富山県,1066 ,1061 ,1056 ,1050 ,1043 ,1035 ,
石川県,1154 ,1151 ,1148 ,1145 ,1139 ,1133 ,
福井県,787 ,783 ,780 ,777 ,771 ,767 ,
山梨県,835 ,831 ,826 ,821 ,815 ,810 ,
長野県,2099 ,2091 ,2082 ,2073 ,2061 ,2048 ,
岐阜県,2032 ,2024 ,2012 ,2001 ,1992 ,1979 ,
静岡県,3700 ,3690 ,3681 ,3667 ,3653 ,3633 ,
愛知県,7483 ,7509 ,7528 ,7541 ,7557 ,7542 ,
三重県,1816 ,1809 ,1801 ,1793 ,1783 ,1770 ,
滋賀県,1413 ,1414 ,1414 ,1414 ,1416 ,1414 ,
京都府,2610 ,2608 ,2604 ,2598 ,2592 ,2578 ,
大阪府,8839 ,8841 ,8841 ,8838 ,8842 ,8838 ,
兵庫県,5535 ,5526 ,5515 ,5501 ,5488 ,5465 ,
奈良県,1364 ,1357 ,1349 ,1341 ,1333 ,1324 ,
和歌山県,964 ,956 ,948 ,940 ,931 ,923 ,
鳥取県,573 ,570 ,566 ,562 ,557 ,553 ,
島根県,694 ,691 ,687 ,682 ,677 ,671 ,
岡山県,1922 ,1917 ,1911 ,1904 ,1897 ,1888 ,
広島県,2844 ,2840 ,2833 ,2824 ,2813 ,2800 ,
山口県,1405 ,1394 ,1382 ,1369 ,1357 ,1342 ,
徳島県,756 ,750 ,744 ,736 ,728 ,720 ,
香川県,976 ,973 ,968 ,963 ,958 ,950 ,
愛媛県,1385 ,1377 ,1368 ,1357 ,1346 ,1335 ,
高知県,728 ,721 ,714 ,707 ,699 ,692 ,
福岡県,5102 ,5113 ,5123 ,5131 ,5134 ,5135 ,
佐賀県,833 ,829 ,825 ,821 ,817 ,811 ,
長崎県,1377 ,1367 ,1355 ,1341 ,1327 ,1312 ,
熊本県,1786 ,1775 ,1767 ,1759 ,1749 ,1738 ,
大分県,1166 ,1160 ,1152 ,1143 ,1134 ,1124 ,
宮崎県,1104 ,1097 ,1091 ,1084 ,1077 ,1070 ,
鹿児島県,1648 ,1637 ,1626 ,1614 ,1602 ,1588 ,
沖縄県,1434 ,1442 ,1448 ,1454 ,1462 ,1467 ,
,,,,,,,
